"OFFENSE_CODE","OFFENSE_CODE_EXTENSION","OFFENSE_TYPE_ID","OFFENSE_TYPE_NAME","OFFENSE_CATEGORY_ID","OFFENSE_CATEGORY_NAME","IS_CRIME","IS_TRAFFIC"
"2804","1","stolen-property-possession","Possession of stolen property","all-other-crimes","All Other Crimes","1","0"
"2804","2","fraud-possess-financial-device","Possession of a financial device","all-other-crimes","All Other Crimes","1","0"
"2901","0","damaged-prop-bus","Damaged business property","public-disorder","Public Disorder","1","0"
"2902","0","criminal-mischief-private","Criminal mischief to private property","public-disorder","Public Disorder","1","0"
"2903","0","criminal-mischief-public","Criminal mischief to public property","public-disorder","Public Disorder","1","0"
"2999","0","criminal-mischief-other","Criminal mischief - other","public-disorder","Public Disorder","1","0"
"2999","1","criminal-mischief-mtr-veh","Criminal mischief to a motor vehicle","public-disorder","Public Disorder","1","0"
"2999","2","criminal-mischief-graffiti","Criminal mischief - graffiti","public-disorder","Public Disorder","1","0"
"3501","0","drug-hallucinogen-mfr","Manufacture of a hallucinogenic drug","drug-alcohol","Drug & Alcohol","1","0"
"3503","0","drug-hallucinogen-sell","Selling a hallucinogenic drug","drug-alcohol","Drug & Alcohol","1","0"
"3504","0","drug-hallucinogen-possess","Possession of a hallucinogenic drug","drug-alcohol","Drug & Alcohol","1","0"
"3510","0","drug-heroin-sell","Selling heroin","drug-alcohol","Drug & Alcohol","1","0"
"3512","0","drug-heroin-possess","Possession of heroin","drug-alcohol","Drug & Alcohol","1","0"
"3520","0","drug-opium-or-deriv-sell","Selling opium or an opium derivative","drug-alcohol","Drug & Alcohol","1","0"
"3522","0","drug-opium-or-deriv-possess","Possession of opium or an opium derivative","drug-alcohol","Drug & Alcohol","1","0"
"3530","0","drug-cocaine-sell","Selling cocaine","drug-alcohol","Drug & Alcohol","1","0"
"3532","0","drug-cocaine-possess","Possession of cocaine","drug-alcohol","Drug & Alcohol","1","0"
"3540","0","drug-synth-narcotic-sell","Selling a synthetic narcotic drug","drug-alcohol","Drug & Alcohol","1","0"
"3542","0","drug-synth-narcotic-possess","Possession of a synthetic narcotic drug","drug-alcohol","Drug & Alcohol","1","0"
"3550","0","drug-poss-paraphernalia","Possession of drug paraphernalia","drug-alcohol","Drug & Alcohol","1","0"
"3560","0","drug-marijuana-sell","Selling marijuana","drug-alcohol","Drug & Alcohol","1","0"
"3562","0","drug-marijuana-possess","Possession of marijuana","drug-alcohol","Drug & Alcohol","1","0"
"3563","0","drug-marijuana-cultivation","Cultivation of marijuana","drug-alcohol","Drug & Alcohol","1","0"
"3570","0","drug-methamphetamine-mfr","Manufacture of methampetamine","drug-alcohol","Drug & Alcohol","1","0"
"3571","0","drug-methampetamine-sell","Selling methampetamine","drug-alcohol","Drug & Alcohol","1","0"
"3572","0","drug-methampetamine-possess","Possession of methampetamine","drug-alcohol","Drug & Alcohol","1","0"
"3580","0","drug-barbiturate-mfr","Manufacture of a barbiturate","drug-alcohol","Drug & Alcohol","1","0"
"3581","0","drug-barbiturate-sell","Selling a barbiturate","drug-alcohol","Drug & Alcohol","1","0"
"3582","0","drug-barbiturate-possess","Possession of a barbiturate","drug-alcohol","Drug & Alcohol","1","0"
"3599","0","drug-pcs-other-drug","Other dangerous drugs - PCS","drug-alcohol","Drug & Alcohol","1","0"
"3599","1","drug-make-sell-other-drug","Manufacture or sell other dangerous drugs","drug-alcohol","Drug & Alcohol","1","0"
"3601","1","sex-aslt-fondle-adult-victim","Fondling of an adult","sexual-assault","Sexual Assault","1","0"
"3605","0","indecent-exposure","Indecent exposure","other-crimes-against-persons","Other Crimes Against Persons","1","0"
"3607","0","sex-off-incest-with-adult","Incest with an adult","other-crimes-against-persons","Other Crimes Against Persons","1","0"
"3611","0","window-peeping","Window Peeping","other-crimes-against-persons","Other Crimes Against Persons","1","0"
"3612","0","sex-off-fail-to-register","Failure to register as a sex offender","all-other-crimes","All Other Crimes","1","0"
"3613","0","sex-off-registration-viol","Sex offender registration violation","all-other-crimes","All Other Crimes","1","0"
"3615","0","indecent-exposure-to-adult","Indecent exposure to an adult","other-crimes-against-persons","Other Crimes Against Persons","1","0"
"3699","0","sex-off-other","Sex offense - other","other-crimes-against-persons","Other Crimes Against Persons","1","0"
"3700","0","obscene-material-possess","Possession of obscene material","other-crimes-against-persons","Other Crimes Against Persons","1","0"
"3701","0","obscene-material-mfr","Manufacture of obscene material","other-crimes-against-persons","Other Crimes Against Persons","1","0"
"3799","0","other-obscenity-crime","Other obscenity crime","other-crimes-against-persons","Other Crimes Against Persons","1","0"
"3804","0","bigamy","Bigamy","all-other-crimes","All Other Crimes","1","0"
"3902","0","gambling-card-game-operating","Operating a gambling card game","all-other-crimes","All Other Crimes","1","0"
"3905","0","gambling-dice-game-operating","Operating a gambling dice game","all-other-crimes","All Other Crimes","1","0"
"3908","0","gambling-possess-gamb-device","Possession of a gambling device","all-other-crimes","All Other Crimes","1","0"
"3911","0","gambling-device","Running a gambling operation","all-other-crimes","All Other Crimes","1","0"
"3915","0","gambling-lottery-operating","Running an illegal lottery","all-other-crimes","All Other Crimes","1","0"
"3919","0","gambling-sports-tampering","Tampering with sports","all-other-crimes","All Other Crimes","1","0"
"3990","0","gambling-betting-wagering","Gambling - betting or wagering","white-collar-crime","White Collar Crime","1","0"
"3991","0","gambling-gaming-operation","Gambling - gaming operation","all-other-crimes","All Other Crimes","1","0"
"3999","0","gambling-illegal","Illegal gambling","all-other-crimes","All Other Crimes","1","0"
"4001","0","prostitution-keep-a-house-of","Keeping a house of prostitution","public-disorder","Public Disorder","1","0"
